caldt,sprtrn,spindx
2005-11-16,0.001790,1231.21
2005-11-17,0.009414,1242.80
2005-11-18,0.004401,1248.27
2005-11-21,0.005271,1254.85
2005-11-22,0.005084,1261.23
2005-11-23,0.003473,1265.61
2005-11-25,0.002086,1268.25
2005-11-28,-0.008508,1257.46
2005-11-29,0.000016,1257.48
2005-11-30,-0.006362,1249.48
2005-12-01,0.012157,1264.67
2005-12-02,0.000324,1265.08
2005-12-05,-0.002363,1262.09
2005-12-06,0.001276,1263.70
2005-12-07,-0.005009,1257.37
2005-12-08,-0.001217,1255.84
2005-12-09,0.002811,1259.37
2005-12-12,0.000842,1260.43
2005-12-13,0.005554,1267.43
2005-12-14,0.004190,1272.74
2005-12-15,-0.001414,1270.94
2005-12-16,-0.002848,1267.32
2005-12-19,-0.005839,1259.92
2005-12-20,-0.000238,1259.62
2005-12-21,0.002517,1262.79
2005-12-22,0.004221,1268.12
2005-12-23,0.000426,1268.66
2005-12-27,-0.009553,1256.54
2005-12-28,0.001297,1258.17
2005-12-29,-0.002981,1254.42
2005-12-30,-0.004887,1248.29
2006-01-03,0.016430,1268.80
2006-01-04,0.003673,1273.46
2006-01-05,0.000016,1273.48
2006-01-06,0.009399,1285.45
2006-01-09,0.003656,1290.15
2006-01-10,-0.000357,1289.69
2006-01-11,0.003481,1294.18
2006-01-12,-0.006274,1286.06
2006-01-13,0.001205,1287.61
2006-01-17,-0.003635,1282.93
2006-01-18,-0.003897,1277.93
2006-01-19,0.005564,1285.04
2006-01-20,-0.018326,1261.49
2006-01-23,0.001847,1263.82
2006-01-24,0.002405,1266.86
2006-01-25,-0.001721,1264.68
2006-01-26,0.007235,1273.83
2006-01-27,0.007764,1283.72
2006-01-30,0.001153,1285.20
2006-01-31,-0.003984,1280.08
2006-02-01,0.001859,1282.46
2006-02-02,-0.009061,1270.84
2006-02-03,-0.005359,1264.03
2006-02-06,0.000783,1265.02
2006-02-07,-0.008095,1254.78
2006-02-08,0.008663,1265.65
2006-02-09,-0.001478,1263.78
2006-02-10,0.002540,1266.99
2006-02-13,-0.003260,1262.86
2006-02-14,0.010033,1275.53
2006-02-15,0.003504,1280.00
2006-02-16,0.007328,1289.38
2006-02-17,-0.001660,1287.24
2006-02-21,-0.003271,1283.03
2006-02-22,0.007513,1292.67
2006-02-23,-0.003775,1287.79
2006-02-24,0.001274,1289.43
2006-02-27,0.003637,1294.12
2006-02-28,-0.010401,1280.66
2006-03-01,0.008261,1291.24
2006-03-02,-0.001626,1289.14
2006-03-03,-0.001482,1287.23
2006-03-06,-0.006968,1278.26
2006-03-07,-0.001862,1275.88
2006-03-08,0.002030,1278.47
2006-03-09,-0.004881,1272.23
2006-03-10,0.007349,1281.58
2006-03-13,0.001990,1284.13
2006-03-14,0.010396,1297.48
2006-03-15,0.004270,1303.02
2006-03-16,0.001773,1305.33
2006-03-17,0.001471,1307.25
2006-03-20,-0.001660,1305.08
2006-03-21,-0.006015,1297.23
2006-03-22,0.006021,1305.04
2006-03-23,-0.002582,1301.67
2006-03-24,0.000983,1302.95
2006-03-27,-0.001028,1301.61
2006-03-28,-0.006438,1293.23
2006-03-29,0.007470,1302.89
2006-03-30,-0.002026,1300.25
2006-03-31,-0.004168,1294.83
2006-04-03,0.002301,1297.81
2006-04-04,0.006257,1305.93
2006-04-05,0.004311,1311.56
2006-04-06,-0.001921,1309.04
2006-04-07,-0.010343,1295.50
2006-04-10,0.000849,1296.60
2006-04-11,-0.007736,1286.57
2006-04-12,0.001205,1288.12
2006-04-13,0.000776,1289.12
2006-04-17,-0.002940,1285.33
2006-04-18,0.017365,1307.65
2006-04-19,0.001744,1309.93
2006-04-20,0.001168,1311.46
2006-04-21,-0.000137,1311.28
2006-04-24,-0.002417,1308.11
2006-04-25,-0.004870,1301.74
2006-04-26,0.002819,1305.41
2006-04-27,0.003302,1309.72
2006-04-28,0.000680,1310.61
2006-05-01,-0.004135,1305.19
2006-05-02,0.006145,1313.21
2006-05-03,-0.004082,1307.85
2006-05-04,0.003364,1312.25
2006-05-05,0.010295,1325.76
2006-05-08,-0.000830,1324.66
2006-05-09,0.000362,1325.14
2006-05-10,-0.001728,1322.85
2006-05-11,-0.012798,1305.92
2006-05-12,-0.011241,1291.24
2006-05-15,0.002525,1294.50
2006-05-16,-0.001869,1292.08
2006-05-17,-0.016841,1270.32
2006-05-18,-0.006699,1261.81
2006-05-19,0.004137,1267.03
2006-05-22,-0.003915,1262.07
2006-05-23,-0.004350,1256.58
2006-05-24,0.001584,1258.57
2006-05-25,0.011370,1272.88
2006-05-26,0.005719,1280.16
2006-05-30,-0.015873,1259.84
2006-05-31,0.008136,1270.09
2006-06-01,0.012298,1285.71
2006-06-02,0.001952,1288.22
2006-06-05,-0.017800,1265.29
2006-06-06,-0.001138,1263.85
2006-06-07,-0.006092,1256.15
2006-06-08,0.001417,1257.93
2006-06-09,-0.004476,1252.30
2006-06-12,-0.012697,1236.40
2006-06-13,-0.010280,1223.69
2006-06-14,0.005189,1230.04
2006-06-15,0.021235,1256.16
2006-06-16,-0.003678,1251.54
2006-06-19,-0.009109,1240.14
2006-06-20,-0.000016,1240.12
2006-06-21,0.009741,1252.20
2006-06-22,-0.005271,1245.60
2006-06-23,-0.000883,1244.50
2006-06-26,0.004869,1250.56
2006-06-27,-0.009084,1239.20
2006-06-28,0.005487,1246.00
